Long_Name,Primary_Category,Zip,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Overall_Rating,Rating_Status,School_Latitude,School_Longitude,Location,Year
South Shore Fine Arts Academy,ES,60637,254,155,83,0,245,7,0,0,1,0,0,1,0,0,Level 2+,GOOD STANDING,41.767755,-87.590396,POINT (-87.590396 41.767755),2023
Jean Baptiste Beaubien Elementary School,ES,60630,970,362,148,179,39,338,355,166,0,0,0,64,6,2,Level 1+,GOOD STANDING,41.972394,-87.757565,POINT (-87.757565 41.972394),2023
Safe Achieve Academy HS,HS,60649,48,42,15,0,42,5,1,0,0,0,0,0,0,0,Level 1+,NOT APPLICABLE,41.753115,-87.551804,POINT (-87.551804 41.753115),2023
William P Nixon Elementary School,ES,60639,593,457,77,322,16,566,7,1,1,0,0,2,0,0,Level 2+,GOOD STANDING,41.919581,-87.73142,POINT (-87.73142 41.919581),2023
Arnold Mireles Elementary Academy,ES,60617,466,359,53,134,253,204,2,0,4,0,0,3,0,0,Level 2,PROVISIONAL SUPPORT,41.731717,-87.552788,POINT (-87.552788 41.731717),2023
Acero Charter Schools - Brighton Park,ES,60632,543,453,64,316,5,537,1,0,0,0,0,0,0,0,Level 1,NOT APPLICABLE,41.813109,-87.693238,POINT (-87.693238 41.813109),2023
Michael M Byrne Elementary School,ES,60638,611,307,116,82,21,424,158,0,2,0,0,5,1,0,Level 2+,GOOD STANDING,41.795031,-87.791544,POINT (-87.791544 41.795031),2023
Pathways in Education- Brighton Park,HS,60632,454,355,69,103,19,419,10,2,4,0,0,0,0,0,Level 2+,NOT APPLICABLE,41.808226,-87.702645,POINT (-87.702645 41.808226),2023
Wildwood IB World Magnet School,ES,60646,467,75,61,39,20,93,278,41,0,0,0,35,0,0,Level 1+,GOOD STANDING,42.007491,-87.778345,POINT (-87.778345 42.007491),2023
Phoebe Apperson Hearst Elementary School,ES,60638,319,240,125,94,102,208,5,2,1,0,0,1,0,0,Level 2+,GOOD STANDING,41.808175,-87.745726,POINT (-87.745726 41.808175),2023
Amelia Earhart Options for Knowledge ES,ES,60617,194,117,17,1,183,9,0,0,0,0,0,2,0,0,Level 1+,GOOD STANDING,41.726107,-87.582182,POINT (-87.582182 41.726107),2023
YCCS-Association House HS,HS,60651,72,55,15,11,27,37,2,0,2,0,0,0,2,2,Level 1+,NOT APPLICABLE,41.901572,-87.70686,POINT (-87.70686 41.901572),2023
Patrick Henry Elementary School,ES,60618,455,359,71,242,16,375,33,17,7,0,0,1,1,5,Level 1,GOOD STANDING,41.958989,-87.715632,POINT (-87.715632 41.958989),2023
Harriet E Sayre Elementary Language Academy,ES,60707,427,244,54,69,162,212,36,1,1,0,0,14,1,0,Level 2+,GOOD STANDING,41.914151,-87.798721,POINT (-87.798721 41.914151),2023
Multicultural Arts High School,HS,60623,263,223,52,104,45,216,1,0,1,0,0,0,0,0,Level 2+,GOOD STANDING,41.835282,-87.735283,POINT (-87.735283 41.835282),2023
Gage Park High School,HS,60629,330,277,60,128,107,217,3,0,0,0,0,2,1,0,Level 2,INTENSIVE SUPPORT,41.791013,-87.688954,POINT (-87.688954 41.791013),2023
Michael Faraday Elementary School,ES,60624,170,149,22,2,162,8,0,0,0,0,0,0,0,0,Level 2+,GOOD STANDING,41.879714,-87.708092,POINT (-87.708092 41.879714),2023
